,Feature,TopK,SOFT,Dataset
0,attention,0.3490389895661724,0.40691927512355847,sst
1,scaled attention,0.35222405271828666,0.39648544755628773,sst
2,gradients,0.3942888522789676,0.39373970345963755,sst
3,ig,0.5354200988467875,0.39483800109829764,sst
4,deeplift,0.4128500823723229,0.5617792421746294,sst
0,attention,0.3338888888888889,0.6319444444444444,evinf
1,scaled attention,0.3288888888888889,0.6236111111111111,evinf
2,gradients,0.28194444444444444,0.6375,evinf
3,ig,0.29833333333333334,0.6152777777777778,evinf
4,deeplift,0.3313888888888889,0.6333333333333333,evinf
0,attention,0.5052894736842105,0.6538157894736842,agnews
1,scaled attention,0.5117631578947368,0.6394736842105263,agnews
2,gradients,0.31355263157894736,0.6584210526315789,agnews
3,ig,0.43478947368421056,0.646578947368421,agnews
4,deeplift,0.31542105263157894,0.6481578947368422,agnews
0,attention,0.4266089108910891,0.4084158415841584,multirc
1,scaled attention,0.42834158415841583,0.39686468646864687,multirc
2,gradients,0.4433993399339934,0.4146039603960396,multirc
3,ig,0.44537953795379537,0.4110973597359736,multirc
4,deeplift,0.42809405940594064,0.3997524752475248,multirc
