,Feature,TopK,SOFT,Dataset
0,attention,0.40615046677649647,0.4964305326743548,sst
1,scaled attention,0.3872597473915431,0.5090609555189456,sst
2,gradients,0.3244371224601867,0.4953322350356947,sst
3,ig,0.43712246018671064,0.48929159802306427,sst
4,deeplift,0.36749038989566174,0.34651290499725423,sst
0,attention,0.43694444444444447,0.5833333333333334,evinf
1,scaled attention,0.44749999999999995,0.5763888888888888,evinf
2,gradients,0.27999999999999997,0.49444444444444446,evinf
3,ig,0.2936111111111111,0.5638888888888889,evinf
4,deeplift,0.26305555555555554,0.5819444444444445,evinf
0,attention,0.4649473684210526,0.2939473684210526,agnews
1,scaled attention,0.43234210526315786,0.30157894736842106,agnews
2,gradients,0.31994736842105265,0.2943421052631579,agnews
3,ig,0.4523157894736842,0.28328947368421054,agnews
4,deeplift,0.25576315789473686,0.2956578947368421,agnews
0,attention,0.2922854785478548,0.5410478547854786,multirc
1,scaled attention,0.2658003300330033,0.5325907590759076,multirc
2,gradients,0.2755775577557756,0.4933993399339934,multirc
3,ig,0.2879950495049505,0.5292904290429042,multirc
4,deeplift,0.29026402640264026,0.5381600660066007,multirc
